date,TotalSleep,Awake,REM,Light,Deep,Restless,Efficiency,Latency,AvgRHR,LowRHR,AvgHRV,TDiff,RespR,RecPts,RPE,TSS,Beers
2020-04-08,31020.0,1080.0,7620.0,18420.0,4980.0,37.0,97.0,330.0,55.62,50.0,22.0,0.11,16.5,6.57,0.0,0.0,a little
2020-04-09,31350.0,4170.0,6330.0,20280.0,4740.0,33.0,88.0,210.0,53.11,48.0,26.0,0.36,15.875,6.8,0.0,0.0,nothing
2020-04-10,26610.0,1890.0,4500.0,17430.0,4680.0,33.0,93.0,870.0,53.3,47.0,26.0,-0.13,15.875,6.8,0.0,0.0,nothing
2020-04-11,33240.0,2940.0,8580.0,20040.0,4620.0,35.0,92.0,930.0,55.43,50.0,24.0,-0.02,16.125,7.0696170212766,0.0,0.0,a little
2020-04-12,29130.0,2490.0,6060.0,19380.0,3690.0,49.0,92.0,720.0,52.88,50.0,26.0,0.26,16.0,6.8,7.6,106.0,nothing
2020-04-13,20160.0,7140.0,5940.0,12600.0,1620.0,35.0,74.0,570.0,51.49,47.0,37.0,-0.02,15.875,7.31,3.0,39.0,a little
2020-04-14,26430.0,1710.0,4470.0,16980.0,4980.0,36.0,94.0,660.0,52.47,46.0,32.0,0.17,16.0,7.09,10.0,38.0,nothing
2020-04-15,30150.0,2010.0,7680.0,16980.0,5490.0,32.0,94.0,1020.0,50.62,47.0,33.0,0.16,15.875,7.14,0.0,0.0,nothing
2020-04-16,25950.0,1590.0,3840.0,17880.0,4230.0,37.0,94.0,420.0,53.92,48.0,28.0,0.16,16.125,6.9,6.6,67.0,a little
2020-04-17,23190.0,6570.0,4800.0,12630.0,5760.0,37.0,78.0,1110.0,55.05,52.0,23.0,0.28,16.125,6.63,3.0,43.0,a little
2020-04-18,29910.0,1890.0,7290.0,18300.0,4320.0,36.0,94.0,1080.0,51.71,47.0,29.0,0.03,15.875,6.95,0.0,0.0,nothing
2020-04-19,28800.0,1080.0,8130.0,14850.0,5820.0,38.0,96.0,150.0,51.59,48.0,28.0,0.01,16.0,6.9,8.2,109.0,nothing
2020-04-20,25950.0,2250.0,4980.0,18000.0,2970.0,40.0,92.0,570.0,52.19,48.0,27.0,0.06,16.25,6.85,6.5,69.0,nothing
2020-04-21,23670.0,2190.0,5430.0,11220.0,7020.0,37.0,92.0,1020.0,52.45,49.0,34.0,-0.09,16.25,7.18,9.5,31.0,a little
2020-04-22,26700.0,3780.0,5700.0,16740.0,4260.0,39.0,88.0,1140.0,52.0,48.0,29.0,0.14,16.125,6.95,0.0,0.0,nothing
2020-04-23,26580.0,2220.0,6780.0,13920.0,5880.0,31.0,92.0,1290.0,52.51,49.0,26.0,0.14,16.125,6.8,0.0,0.0,nothing
2020-04-24,25560.0,2160.0,7080.0,12930.0,5550.0,36.0,92.0,1290.0,51.06,48.0,26.0,-0.06,15.875,6.8,3.0,42.0,nothing
2020-04-25,33330.0,5490.0,8490.0,19260.0,5580.0,38.0,86.0,1620.0,53.58,49.0,26.0,0.19,16.5,6.8,0.0,0.0,nothing
2020-04-26,28800.0,2880.0,6750.0,18360.0,3690.0,30.0,91.0,750.0,55.3,51.0,23.0,0.22,16.625,6.63,7.5,102.0,nothing
2020-04-27,26790.0,1770.0,5970.0,16920.0,3900.0,28.0,94.0,960.0,50.53,48.0,27.0,0.04,16.5,6.85,3.0,39.0,nothing
2020-04-28,25290.0,1770.0,5670.0,16080.0,3540.0,42.0,93.0,450.0,47.7,45.0,34.0,-0.11,15.375,7.18,7.0,75.0,a little
2020-04-29,29940.0,3420.0,6360.0,19410.0,4170.0,41.0,90.0,1050.0,51.4,46.0,26.0,0.27,16.375,6.8,0.0,0.0,nothing
2020-04-30,26700.0,2280.0,6390.0,18420.0,1890.0,40.0,92.0,1320.0,50.96,48.0,28.0,0.03,16.5,6.9,8.2,75.0,nothing
2020-05-01,26520.0,2220.0,5910.0,15480.0,5130.0,36.0,92.0,720.0,52.43,50.0,25.0,0.17,16.5,6.74,3.0,44.0,a little
2020-05-02,32700.0,2280.0,6630.0,22530.0,3540.0,34.0,93.0,1020.0,55.54,49.0,24.0,0.11,16.5,6.69,0.0,0.0,nothing
2020-05-03,33630.0,2490.0,5910.0,21390.0,6330.0,41.0,93.0,180.0,50.05,44.0,30.0,0.01,15.875,7.0,8.4,114.0,a little
2020-05-04,25800.0,2460.0,4950.0,15990.0,4860.0,35.0,91.0,1680.0,51.53,48.0,25.0,0.02,16.625,6.74,3.0,33.0,nothing
2020-05-05,25530.0,1050.0,5460.0,15990.0,4080.0,36.0,96.0,390.0,50.72,47.0,26.0,-0.17,16.25,6.8,7.2,77.0,nothing
2020-05-06,30180.0,2400.0,6900.0,17670.0,5610.0,33.0,93.0,180.0,50.27,46.0,26.0,0.07,15.875,6.8,0.0,0.0,nothing
2020-05-07,26010.0,1230.0,4530.0,17670.0,3810.0,34.0,95.0,660.0,54.78,49.0,24.0,0.21,16.5,6.69,8.5,80.0,a little
2020-05-08,29160.0,2940.0,7050.0,17700.0,4410.0,33.0,91.0,930.0,52.83,49.0,24.0,0.1,15.75,6.69,3.0,43.0,too much
2020-05-09,35820.0,3600.0,7620.0,24540.0,3660.0,41.0,91.0,1470.0,53.89,49.0,30.0,0.12,16.0,7.0,0.0,0.0,nothing
2020-05-10,28650.0,2670.0,7290.0,16590.0,4770.0,38.0,91.0,180.0,50.81,47.0,28.0,0.29,16.0,6.9,9.2,118.0,nothing
2020-05-11,32280.0,2820.0,9180.0,17940.0,5160.0,39.0,92.0,1020.0,49.45,46.0,27.0,-0.14,16.0,6.85,3.0,40.0,nothing
2020-05-12,23250.0,4050.0,5580.0,13860.0,3810.0,39.0,85.0,1140.0,47.96,45.0,33.0,-0.14,15.375,7.14,9.3,80.0,a little
2020-05-13,29250.0,3210.0,6720.0,19080.0,3450.0,34.0,90.0,1170.0,51.4,49.0,26.0,0.14,16.125,6.8,0.0,0.0,a little
2020-05-14,25110.0,1470.0,5070.0,16380.0,3660.0,37.0,94.0,840.0,51.61,46.0,33.0,0.14,16.125,7.14,8.6,84.0,nothing
2020-05-15,27690.0,2010.0,6690.0,15720.0,5280.0,40.0,93.0,150.0,49.19,46.0,29.0,-0.11,15.5,6.95,3.0,44.0,too much
2020-05-16,30690.0,1830.0,7260.0,19590.0,3840.0,43.0,94.0,180.0,51.95,48.0,30.0,0.33,15.875,7.0,0.0,0.0,nothing
2020-05-17,30420.0,2580.0,6300.0,18480.0,5640.0,35.0,92.0,720.0,49.81,45.0,29.0,0.13,16.375,6.95,9.7,122.0,a little
2020-05-18,29940.0,2100.0,5790.0,19560.0,4590.0,38.0,93.0,1020.0,50.98,47.0,28.0,-0.11,16.625,6.9,3.0,40.0,a little
2020-05-19,24960.0,2700.0,3810.0,15150.0,6000.0,36.0,90.0,1440.0,50.51,45.0,36.0,-0.07,15.875,7.27,3.0,40.0,a little
2020-05-20,30210.0,2670.0,6060.0,20340.0,3810.0,41.0,92.0,1290.0,50.31,46.0,27.0,-0.04,16.375,6.85,0.0,0.0,nothing
2020-05-21,23550.0,2790.0,4380.0,14670.0,4500.0,35.0,89.0,1080.0,52.47,48.0,26.0,-0.08,16.375,7.0696170212766,3.0,46.0,a little
2020-05-22,26970.0,2370.0,5640.0,15030.0,6300.0,40.0,92.0,750.0,48.66,44.0,33.0,-0.1,16.0,7.14,3.0,43.0,a little
2020-05-23,29430.0,1770.0,8130.0,17010.0,4290.0,37.0,94.0,960.0,51.05,46.0,35.0,-0.33,16.375,7.23,0.0,0.0,a little
2020-05-24,29940.0,4500.0,6300.0,18960.0,4680.0,35.0,87.0,2070.0,54.57,51.0,26.0,0.3,17.0,6.8,5.2,73.0,nothing
2020-05-25,39000.0,2220.0,6810.0,26580.0,5610.0,38.0,95.0,300.0,49.39,45.0,31.0,0.09,16.25,7.05,9.3,34.0,a little
2020-05-26,25050.0,990.0,4920.0,16680.0,3450.0,33.0,96.0,210.0,47.92,45.0,30.0,-0.14,16.125,7.0,3.0,39.0,a little
2020-05-27,31830.0,1770.0,6990.0,19590.0,5250.0,40.0,95.0,180.0,49.94,46.0,33.0,-0.05,15.875,7.14,0.0,0.0,nothing
2020-05-28,22050.0,1350.0,3840.0,11850.0,6360.0,30.0,94.0,510.0,50.25,47.0,36.0,-0.14,16.375,7.27,7.9,91.0,nothing
2020-05-29,32190.0,2310.0,8430.0,19980.0,3780.0,36.0,93.0,720.0,52.77,49.0,26.0,-0.05,16.375,6.8,0.0,0.0,nothing
2020-05-30,34620.0,3240.0,7470.0,22560.0,4590.0,40.0,91.0,1680.0,52.1,46.0,33.0,0.15,16.125,7.14,0.0,0.0,nothing
2020-05-31,27990.0,3450.0,7140.0,15570.0,5280.0,37.0,89.0,300.0,48.75,46.0,32.0,0.09,15.75,7.09,7.3,103.0,nothing
